epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1761,2.06195,4.16922,1.29849,0.00333,0.13924,0.00227,0.0008,1.62713,3.94353,1.18456,0,0,0
2,20.1041,2.00149,4.00301,1.2593,0.00333,0.13924,0.00232,0.00089,1.54028,3.9309,1.13845,1.9802e-05,1.9802e-05,1.9802e-05
3,27.8041,1.98745,3.95709,1.14904,0.00333,0.13924,0.00241,0.00117,1.30905,3.92626,1.08191,3.9208e-05,3.9208e-05,3.9208e-05
4,36.8822,1.31479,3.96891,1.11789,0.00364,0.1519,0.00307,0.0017,1.00511,3.82939,1.00365,5.8218e-05,5.8218e-05,5.8218e-05
5,49.1968,1.324,3.67269,1.04497,0.00364,0.1519,0.00321,0.00207,0.85376,3.74866,0.91246,7.6832e-05,7.6832e-05,7.6832e-05
6,59.5222,0.95123,3.52604,0.88534,0.00455,0.18987,0.00394,0.00285,0.631,3.7136,0.86718,9.505e-05,9.505e-05,9.505e-05
7,70.4232,0.86505,3.4722,0.83636,0.00576,0.24051,0.00533,0.00316,0.71881,3.71845,0.86036,0.000112872,0.000112872,0.000112872
8,80.3253,1.09394,3.04613,0.8381,0.00697,0.29114,0.00887,0.00461,0.89089,3.66274,0.86142,0.000130298,0.000130298,0.000130298
9,90.3218,1.12261,2.61985,0.86266,0.00636,0.26582,0.0705,0.05323,0.84655,3.60869,0.84896,0.000147328,0.000147328,0.000147328
10,99.9592,0.93944,2.33763,0.88779,0.00697,0.29114,0.13146,0.10155,0.67188,3.56112,0.81093,0.000163962,0.000163962,0.000163962
11,109.887,0.76295,1.71906,0.84816,0.00727,0.3038,0.14924,0.10241,0.62517,3.44932,0.80023,0.0001802,0.0001802,0.0001802
12,120.258,0.72664,1.29162,0.80842,0.00727,0.3038,0.1628,0.09534,0.64641,3.4031,0.80647,0.000196042,0.000196042,0.000196042
13,130.76,0.64693,1.44946,0.82531,0.00879,0.36709,0.19683,0.1044,0.61291,3.34922,0.79097,0.000211488,0.000211488,0.000211488
14,141.33,0.7511,1.44459,0.83015,0.00909,0.37975,0.18416,0.10066,0.57777,3.31484,0.78665,0.000226538,0.000226538,0.000226538
15,151.417,0.65594,1.17531,0.81935,0.01,0.41772,0.22277,0.10888,0.50738,3.32202,0.77823,0.000241192,0.000241192,0.000241192
16,161.562,0.64931,1.1488,0.77707,0.00788,0.32911,0.19266,0.09724,0.472,3.33645,0.78631,0.00025545,0.00025545,0.00025545
17,171.377,0.62683,1.27629,0.81876,0.00697,0.29114,0.15555,0.08931,0.48718,3.36079,0.79348,0.000269312,0.000269312,0.000269312
18,180.418,0.65649,1.12144,0.77007,0.00697,0.29114,0.15555,0.08931,0.48718,3.36079,0.79348,0.000282778,0.000282778,0.000282778
19,191.646,0.64098,1.56805,0.86488,0.00606,0.25316,0.10046,0.06774,0.51599,3.38565,0.79103,0.000295848,0.000295848,0.000295848
20,200.05,0.60765,1.33226,0.83522,0.00606,0.25316,0.10046,0.06774,0.51599,3.38565,0.79103,0.000308522,0.000308522,0.000308522
21,208.74,0.62485,1.03188,0.8225,0.00636,0.26582,0.075,0.0494,0.53447,3.39749,0.79465,0.0003208,0.0003208,0.0003208
22,217.863,0.637,1.29804,0.86503,0.00636,0.26582,0.075,0.0494,0.53447,3.39749,0.79465,0.000332682,0.000332682,0.000332682
23,226.435,0.68365,1.29436,0.83436,0.00697,0.29114,0.05851,0.0376,0.52663,3.42855,0.79376,0.000344168,0.000344168,0.000344168
24,235.487,0.45217,1.12429,0.81894,0.00697,0.29114,0.05851,0.0376,0.52663,3.42855,0.79376,0.000355258,0.000355258,0.000355258
25,244.021,0.52101,1.17078,0.85649,0.00758,0.31646,0.01752,0.00575,0.4787,3.42798,0.78567,0.000365952,0.000365952,0.000365952
26,252.354,0.59146,0.9779,0.817,0.00758,0.31646,0.01752,0.00575,0.4787,3.42798,0.78567,0.00037625,0.00037625,0.00037625
